Super Class,Granular Overture Category
Hotel_Lodging,hotel
Hotel_Lodging,lodging
Hotel_Lodging,inn
Hotel_Lodging,resort
Hotel_Lodging,bed_and_breakfast
Hotel_Lodging,apartment
Hotel_Lodging,private_lodging
Restaurant,restaurant
Restaurant,casual_eatery
Restaurant,bar
Restaurant,lounge
Restaurant,brewery
Restaurant,distillery
Restaurant,winery
Restaurant,food_service
Restaurant,alcoholic_beverage_venue
Cafe_Bakery,cafe
Cafe_Bakery,coffee_shop
Cafe_Bakery,bakery
Cafe_Bakery,fast_food_restaurant
Cafe_Bakery,smoothie_juice_bar
Cafe_Bakery,non_alcoholic_beverage_venue
Fashion_Clothing,fashion_and_apparel_store
Fashion_Clothing,boutique
Fashion_Clothing,sporting_goods_store
Fashion_Clothing,musical_instrument_and_pro_audio_store
Convenience_Specialty,convenience_store
Convenience_Specialty,specialty_store
Convenience_Specialty,grocery_store
Convenience_Specialty,food_and_beverage_store
Convenience_Specialty,discount_store
Convenience_Specialty,second_hand_store
Convenience_Specialty,flowers_and_gifts_store
Convenience_Specialty,animal_and_pet_store
Convenience_Specialty,office_supply_store
Convenience_Specialty,books_music_and_video_store
Convenience_Specialty,electronics_store
Malls_Department,shopping_mall
Malls_Department,department_store
Malls_Department,superstore
Malls_Department,warehouse_club_store
Financial_Services,bank_or_credit_union
Financial_Services,atm
Financial_Services,financial_service
Personal_Care_Beauty,personal_care_and_beauty_store
Personal_Care_Beauty,personal_or_beauty_service
Personal_Care_Beauty,wellness_service
Home_Maintenance_Services,home_service
Home_Maintenance_Services,laundry_service
Home_Maintenance_Services,building_or_construction_service
Home_Maintenance_Services,storage_facility
Home_Maintenance_Services,shipping_or_delivery_service
Home_Maintenance_Services,rental_service
Home_Maintenance_Services,hardware_home_and_garden_store
Home_Maintenance_Services,supplier_or_distributor
Home_Maintenance_Services,wholesaler
Professional_Tech_Services,technical_service
Professional_Tech_Services,printing_service
Professional_Tech_Services,print_media_service
Professional_Tech_Services,design_service
Professional_Tech_Services,media_service
Professional_Tech_Services,telecommunications_service
Professional_Tech_Services,radio_station
Professional_Tech_Services,b2b_service
Professional_Tech_Services,b2b_office_and_professional_service
Professional_Tech_Services,b2b_science_and_technology_service
Professional_Tech_Services,b2b_industrial_and_machine_service
Professional_Tech_Services,b2b_energy_and_utility_service
Professional_Tech_Services,b2b_transportation_and_storage_service
Professional_Tech_Services,astrological_advising
Professional_Tech_Services,psychic_advising
Social_Community_Services,social_or_community_service
Social_Community_Services,community_center
Social_Community_Services,civic_organization
Social_Community_Services,social_club
Social_Community_Services,youth_organization
Social_Community_Services,family_service
Social_Community_Services,labor_union
Social_Community_Services,political_organization
Social_Community_Services,non_profit_organization
Entertainment_Leisure,movie_theater
Entertainment_Leisure,music_venue
Entertainment_Leisure,performing_arts_venue
Entertainment_Leisure,theatre_venue
Entertainment_Leisure,amusement_park
Entertainment_Leisure,arcade
Entertainment_Leisure,gaming_venue
Entertainment_Leisure,casino
Entertainment_Leisure,comedy_club
Entertainment_Leisure,arts_crafts_and_hobby_store
Entertainment_Leisure,toys_and_games_store
Parks_Recreation,park
Parks_Recreation,playground
Parks_Recreation,garden
Parks_Recreation,nature_reserve
Parks_Recreation,national_park
Parks_Recreation,recreational_trail_or_path
Parks_Recreation,forest
Parks_Recreation,lake
Parks_Recreation,river
Parks_Recreation,land_feature
Parks_Recreation,mountain
Parks_Recreation,hot_springs
Parks_Recreation,sport_court
Parks_Recreation,sport_field
Parks_Recreation,sport_or_fitness_facility
Parks_Recreation,sport_or_recreation_club
Parks_Recreation,sport_team
Parks_Recreation,stadium_arena
Parks_Recreation,swimming_pool
Parks_Recreation,gym
Parks_Recreation,fitness_studio
Parks_Recreation,golf_course
Medical_Wellness,hospital
Medical_Wellness,pharmacy_and_drug_store
Medical_Wellness,medical_service
Medical_Wellness,dental_clinic
Medical_Wellness,primary_care_or_general_clinic
Medical_Wellness,outpatient_care_facility
Medical_Wellness,emergency_department
Medical_Wellness,emergency_or_urgent_care_facility
Medical_Wellness,specialized_medical_facility
Medical_Wellness,specialized_health_care
Medical_Wellness,diagnostics_imaging_or_lab_service
Medical_Wellness,behavioral_or_mental_health_clinic
Medical_Wellness,vision_or_eye_care_clinic
Medical_Wellness,pediatric_clinic
Medical_Wellness,surgery
Medical_Wellness,physical_medicine_and_rehabilitation
Medical_Wellness,complementary_and_alternative_medicine
Medical_Wellness,reproductive_perinatal_and_womens_care
Education_Hubs,college_university
Education_Hubs,high_school
Education_Hubs,middle_school
Education_Hubs,elementary_school
Education_Hubs,preschool
Education_Hubs,educational_facility
Education_Hubs,educational_service
Education_Hubs,place_of_learning
Education_Hubs,specialty_school
Education_Hubs,tutoring_service
Education_Hubs,campus_building
Corporate_Offices,corporate_or_business_office
Corporate_Offices,government_office
Corporate_Offices,government_department
Corporate_Offices,embassy
Corporate_Offices,courthouse
Corporate_Offices,real_estate_service
Corporate_Offices,professional_service
Corporate_Offices,legal_service
Corporate_Offices,attorney_or_law_firm
Civic_Culture,hindu_place_of_worship
Civic_Culture,buddhist_place_of_worship
Civic_Culture,christian_place_of_worship
Civic_Culture,muslim_place_of_worship
Civic_Culture,jewish_place_of_worship
Civic_Culture,place_of_worship
Civic_Culture,religious_organization
Civic_Culture,historic_site
Civic_Culture,monument
Civic_Culture,museum
Civic_Culture,art_gallery
Civic_Culture,cultural_center
Civic_Culture,library
Civic_Culture,sculpture_statue
Civic_Culture,public_fountain
Civic_Culture,public_plaza
Infrastructure_Auto,gas_station
Infrastructure_Auto,parking
Infrastructure_Auto,automotive_service
Infrastructure_Auto,vehicle_service
Infrastructure_Auto,vehicle_dealer
Infrastructure_Auto,auto_dealer
Infrastructure_Auto,vehicle_parts_store
Infrastructure_Auto,public_transit_facility_or_service
Infrastructure_Auto,taxi_or_ride_share_service
Infrastructure_Auto,train_station
Infrastructure_Auto,airport
Infrastructure_Auto,air_transport_facility_or_service
Infrastructure_Auto,ground_transport_facility_or_service
Infrastructure_Auto,bridge
Infrastructure_Auto,police_station
Infrastructure_Auto,fire_station
Infrastructure_Auto,public_utility
Infrastructure_Auto,water_utility_provider
Infrastructure_Auto,electric_utility_provider
Infrastructure_Auto,environmental_or_ecological_service
